cue_image,cue_opacity,cue_sound,cue_volume,cue_text
utils/fixation.png,0,A,0,37 + 4
utils/fixation.png,0,B,0,32 - 92
utils/fixation.png,0,C,0,44 - 31
utils/fixation.png,0,D,0,23 + 38
utils/fixation.png,0,E,0,81 + 22
utils/fixation.png,0,F,0,51 - 15
utils/fixation.png,0,G,0,28 + 93
utils/fixation.png,0,A,0,4 + 32
utils/fixation.png,0,B,0,80 + 95
utils/fixation.png,0,C,0,20 - 4
utils/fixation.png,0,D,0,31 + 86
utils/fixation.png,0,E,0,53 + 50
utils/fixation.png,0,F,0,35 + 54
utils/fixation.png,0,G,0,90 - 92
utils/fixation.png,0,A,0,99 + 82
utils/fixation.png,0,B,0,40 - 47
utils/fixation.png,0,C,0,97 - 9
utils/fixation.png,0,D,0,61 - 88
utils/fixation.png,0,E,0,26 - 91
utils/fixation.png,0,F,0,71 + 1
utils/fixation.png,0,G,0,19 + 68
utils/fixation.png,0,A,0,15 + 49
utils/fixation.png,0,B,0,31 + 36
utils/fixation.png,0,C,0,33 - 25
utils/fixation.png,0,D,0,54 - 77
utils/fixation.png,0,E,0,22 - 41
utils/fixation.png,0,F,0,53 + 32
utils/fixation.png,0,G,0,57 - 46
utils/fixation.png,0,A,0,82 + 17
utils/fixation.png,0,B,0,73 - 95
utils/fixation.png,0,C,0,88 - 38
utils/fixation.png,0,D,0,18 - 87
utils/fixation.png,0,E,0,5 + 39
utils/fixation.png,0,F,0,25 - 10
utils/fixation.png,0,G,0,27 - 41
utils/fixation.png,0,G,0,13 + 2
